Breakdown of debt securities under the Public Sector Purchase Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly net purchases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,30/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,cumulative net purchases
Portugal,1074,1084,1174,1164,1160,966,1148,1184,1248,1018,1197,1214,1213,1405,1451,1438,958,722,1022,1021,1023,726,688,656,663,526,504,509,517,414,494,489,488,516,461,489,462,623,568,620,638,562,546,265,206,332,443,379,384,492,440,-791,518,395,406,631,530,516,299,286,416,462,396,412,390,43851
Slovenia,209,219,231,228,232,192,227,245,248,197,252,280,237,236,242,254,223,153,219,225,216,168,160,152,150,113,119,159,166,141,159,164,254,237,108,115,109,127,113,115,116,36,78,41,32,49,65,-239,52,50,38,29,50,23,33,75,45,42,-294,31,62,93,58,59,162,8381
Slovakia,506,522,529,546,442,423,467,377,533,277,575,554,433,329,323,233,221,123,133,164,230,216,334,301,294,233,211,237,220,60,178,228,137,194,187,141,137,170,133,185,152,129,235,84,-667,16,86,76,77,80,-82,69,87,65,76,111,97,95,140,71,122,-568,132,139,374,12932
Supranationals,5682,5748,6173,6267,6300,5393,6335,6153,6650,5403,6021,6437,6413,8717,7706,7028,6732,5117,7102,7271,7157,5425,7185,6818,6919,5417,5166,5194,5257,4347,5096,5084,5081,4629,2107,2225,2109,2407,2404,2504,2465,2259,1737,840,822,815,-1293,1296,-3,-674,-340,1020,0,0,578,-647,1253,1500,247,2421,3575,2865,3655,4549,-798,249323
Total,47383,47701,51622,51442,51359,42826,51008,52175,55105,44309,52956,53358,53059,78499,79673,72072,69650,50513,69972,72974,70145,55032,71362,68208,68816,54311,51491,51607,51811,42839,50795,50174,50747,46184,20905,21801,20774,23631,24230,24973,24957,22619,23211,9918,10122,12961,-1222,1183,77,-862,-370,1118,-851,843,602,-698,14478,12515,12336,14137,37323,29624,28961,29779,16370,2366620
Book value in EUR millions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,,,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,12641,20559,18761,6228,1387,,Austria,12641,20559,18761,6228,1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,15896,25939,23630,7902,1381,,Belgium,15896,25939,23630,7902,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,285,-37,-35,464,1267,,Cyprus,285,-37,-35,464,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,115625,188321,155372,59239,9276,,Germany,115625,188321,155372,59239,9276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,48,18,0,-58,0,,Estonia,48,18,0,-58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,56817,93514,79919,30571,-1819,,Spain,56817,93514,79919,30571,-1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,8086,13205,7872,3970,751,,Finland,8086,13205,7872,3970,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,91767,149100,134836,44554,4904,,France,91767,149100,134836,44554,4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,7583,10982,6719,4851,2591,,Ireland,7583,10982,6719,4851,2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,79209,130398,117120,38627,-1566,,Italy,79209,130398,117120,38627,-1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,1107,1157,640,260,541,,Lithuania,1107,1157,640,260,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,1115,628,642,228,107,,Luxembourg,1115,628,642,228,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,684,628,430,333,282,,Latvia,684,628,430,333,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,282,525,220,127,-1,,Malta,282,525,220,127,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the Netherlands,25612,42212,34959,12400,-421,,the Netherlands,25612,42212,34959,12400,-421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,11220,13390,6464,5772,4343,,Portugal,11220,13390,6464,5772,4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2228,2705,1974,1039,263,,Slovenia,2228,2705,1974,1039,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,4622,3534,2627,902,837,,Slovakia,4622,3534,2627,902,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supranationals,60104,81126,66193,22694,2690,,Supranationals,60104,81126,66193,22694,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
